"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"903",903,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs998584","OR",0.040118,0.00198999,0.0266,0.0482
"904",904,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs9991328","OR",0.015016,0.00199432,0.0574,0.048
"905",905,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10029034","OR",0.011737,0.00210704,-0.0537,0.0546
"906",906,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1009360","OR",-0.01848,0.00200785,-0.0778,0.0488
"907",907,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10152471","OR",-0.01352,0.00204778,0.0097,0.0485
"908",908,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10172544","OR",-0.01123,0.0020155,-0.0876,0.0495
"909",909,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10180284","OR",-0.01165,0.00198789,-0.0185,0.0478
"910",910,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10210970","OR",0.023256,0.00292788,0.0193,0.0616
"911",911,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10219951","OR",0.019279,0.00313261,-0.1174,0.0632
"912",912,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10242866","OR",0.015793,0.00202877,-0.0429,0.0522
"913",913,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10261878","OR",-0.02461,0.00437406,0.1424,0.142
"914",914,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1030472","OR",0.022676,0.00243475,0.0209,0.069
"915",915,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1037117","OR",0.017221,0.00229153,-0.0899,0.0532
"916",916,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1043764","OR",-0.01657,0.0025148,0.0238,0.0531
"917",917,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1045241","OR",-0.0207,0.00224699,-0.0056,0.0516
"918",918,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10455872","OR",-0.04436,0.00368335,0.0448,0.1154
"919",919,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1057868","OR",0.012404,0.00219776,0.0773,0.0489
"920",920,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1064725","OR",-0.0591,0.00515523,-0.0308,0.1181
"921",921,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10750766","OR",0.019386,0.00218742,0.0364,0.0545
"922",922,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10773049","OR",-0.02904,0.00203691,-0.0286,0.0486
"923",923,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10775406","OR",0.020657,0.00232578,-0.0497,0.0541
"924",924,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1077835","OR",0.047367,0.00240452,0.0199,0.0548
"925",925,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10792091","OR",0.017481,0.00286221,-0.0933,0.0798
"926",926,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10797119","OR",0.015711,0.00200465,0.1391,0.048
"927",927,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10811662","OR",-0.01541,0.0026291,-0.0021,0.0682
"928",928,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10863828","OR",-0.0129,0.00231241,0.0873,0.0552
"929",929,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10883451","OR",0.010828,0.00198508,-0.1049,0.0492
"930",930,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs10899490","OR",-0.01701,0.00269347,-0.1137,0.0602
"931",931,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11023160","OR",0.011988,0.00217303,0.0035,0.0497
"932",932,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11030107","OR",0.016042,0.00225693,0.086,0.0551
"933",933,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11045171","OR",-0.02502,0.00251023,0.0055,0.0583
"934",934,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11057397","OR",-0.0273,0.00210474,0.0164,0.0522
"935",935,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11078597","OR",0.019171,0.0025513,-0.0738,0.0612
"936",936,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11097128","OR",-0.0208,0.00328714,-0.0561,0.0614
"937",937,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11100083","OR",-0.01602,0.00237585,-0.1033,0.0611
"938",938,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11118310","OR",0.019318,0.00202011,-0.0286,0.0487
"939",939,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11122450","OR",-0.04817,0.0020373,0.0017,0.0483
"940",940,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs111500536","OR",-0.0419,0.00429302,-0.1065,0.1303
"941",941,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs111712708","OR",-0.01284,0.00204037,0.0205,0.0534
"942",942,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11185542","OR",-0.01264,0.00223848,0.1229,0.0522
"943",943,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs111914893","OR",0.02761,0.00456604,-0.0174,0.1687
"944",944,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11195952","OR",-0.02339,0.00309731,0.0671,0.0911
"945",945,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11206374","OR",0.025023,0.00237577,-0.0086,0.0585
"946",946,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11216101","OR",-0.0458,0.00626776,-0.0805,0.2406
"947",947,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11216122","OR",-0.04254,0.00448663,-0.0785,0.1081
"948",948,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs112162280","OR",-0.01266,0.00219763,0.0046,0.0519
"949",949,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs112259268","OR",0.139849,0.00601368,-0.2127,0.137
"950",950,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11228377","OR",-0.0154,0.00201809,-0.0273,0.0487
"951",951,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11231161","OR",0.016652,0.00205044,-0.0327,0.0561
"952",952,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11240358","OR",0.013565,0.00202953,0.0129,0.0496
"953",953,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs112740904","OR",-0.02549,0.00284086,0.0287,0.092
"954",954,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs112850234","OR",-0.05512,0.0096038,0.0918,0.3217
"955",955,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs112923502","OR",0.019364,0.00297319,-0.1365,0.0868
"956",956,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs112975989","OR",0.01514,0.00247162,0.0308,0.0581
"957",957,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs113131063","OR",-0.04327,0.00787251,0.4647,0.2851
"958",958,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1133400","OR",0.013746,0.00239759,0.0338,0.0635
"959",959,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs113439801","OR",-0.01742,0.00266157,-0.0398,0.0741
"960",960,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1135062","OR",-0.01752,0.00218572,-0.0123,0.0527
"961",961,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs114165349","OR",0.081813,0.00663594,0.0474,0.127
"962",962,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs114473447","OR",0.0572,0.00816838,0.3911,0.5273
"963",963,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs114796738","OR",0.024774,0.00447549,0.0418,0.1329
"964",964,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs114940462","OR",-0.06143,0.00486241,0.0238,0.1252
"965",965,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1149470","OR",-0.01388,0.00232728,-0.0482,0.0588
"966",966,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs115661421","OR",0.061812,0.0107711,-0.0864,0.1735
"967",967,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11598250","OR",0.012926,0.00235002,0.0864,0.0583
"968",968,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11620989","OR",0.011358,0.00204732,0.0029,0.0486
"969",969,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11629629","OR",0.012413,0.00207567,0.032,0.0517
"970",970,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11635675","OR",0.024072,0.00209475,-0.0157,0.049
"971",971,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11643980","OR",-0.014,0.00252656,0.0504,0.0591
"972",972,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11657201","OR",0.012971,0.00231998,0.1022,0.0636
"973",973,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11664106","OR",-0.01258,0.00210816,0.029,0.0515
"974",974,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs116843064","OR",-0.22651,0.00721009,-0.0356,0.1474
"975",975,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11688682","OR",-0.01486,0.0023048,-0.0874,0.0557
"976",976,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs116919951","OR",0.046891,0.00829993,0.0549,0.1634
"977",977,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs116995028","OR",0.176768,0.00883569,0.1537,0.2178
"978",978,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs116998829","OR",-0.02902,0.00500203,-0.1173,0.1743
"979",979,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117001569","OR",-0.09448,0.0108681,0.2177,0.1734
"980",980,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1171617","OR",0.015813,0.00235535,0.0027,0.0653
"981",981,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117233107","OR",-0.07323,0.0086122,-0.1193,0.205
"982",982,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117291242","OR",0.029785,0.00528225,0.0825,0.1066
"983",983,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117350303","OR",-0.07259,0.0105958,-0.0941,0.182
"984",984,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117619191","OR",0.08151,0.00691433,0.1244,0.2394
"985",985,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117664196","OR",-0.03832,0.00610149,-0.389,0.2239
"986",986,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11769620","OR",0.023441,0.00403422,0.0106,0.1021
"987",987,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117781948","OR",0.056978,0.00858998,0.1422,0.3036
"988",988,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1178982","OR",-0.04336,0.00378648,0.0459,0.1084
"989",989,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs117956669","OR",0.054454,0.00925949,0.0567,0.2014
"990",990,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11903847","OR",-0.0134,0.00213246,0.1241,0.0587
"991",991,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs11980456","OR",0.01239,0.00221234,-0.6046,0.0524
"992",992,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12140153","OR",-0.02207,0.00348211,-0.0925,0.0892
"993",993,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12185242","OR",0.017527,0.00199898,0.0042,0.0478
"994",994,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12306007","OR",0.015674,0.00285535,-0.1215,0.0682
"995",995,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12369443","OR",-0.0138,0.00250434,-0.0041,0.0547
"996",996,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12415159","OR",0.021156,0.00283161,-0.1402,0.0716
"997",997,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12422600","OR",-0.01254,0.00207096,-0.0357,0.0486
"998",998,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12424054","OR",0.019121,0.00235346,-0.113,0.063
"999",999,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1242506","OR",-0.01389,0.00234551,-0.0129,0.0521
"1000",1000,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12440800","OR",0.0161,0.00229294,0.0729,0.0586
"1001",1001,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12446515","OR",-0.03342,0.00213589,0.0055,0.0537
"1002",1002,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12449427","OR",-0.01376,0.0022977,0.0198,0.0556
"1003",1003,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12454712","OR",-0.01235,0.00205393,-0.0379,0.0481
"1004",1004,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12470242","OR",0.023174,0.00261852,0.0239,0.053
"1005",1005,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12472667","OR",0.013745,0.00206009,-0.0228,0.0501
"1006",1006,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12479355","OR",-0.01929,0.00245303,0.0476,0.0632
"1007",1007,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12504746","OR",-0.01527,0.00252148,0.0539,0.0674
"1008",1008,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12530679","OR",-0.01213,0.00201682,-0.0042,0.0482
"1009",1009,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12574790","OR",0.184408,0.0103278,0.1872,0.3178
"1010",1010,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12591786","OR",-0.0176,0.00276287,0.0446,0.0802
"1011",1011,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12610373","OR",-0.01134,0.0020632,-0.0842,0.0506
"1012",1012,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12610709","OR",0.022387,0.00264596,-0.0303,0.0671
"1013",1013,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12669911","OR",-0.01185,0.00205405,-0.138,0.0522
"1014",1014,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12791103","OR",-0.07243,0.0033577,0.1545,0.075
"1015",1015,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1281978","OR",-0.01137,0.0019901,0.007,0.0478
"1016",1016,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12824533","OR",0.01295,0.00205472,0.0332,0.0494
"1017",1017,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12880341","OR",0.02097,0.00273647,0.0258,0.0703
"1018",1018,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12902047","OR",-0.01293,0.00214533,0.0129,0.0505
"1019",1019,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1292065","OR",-0.01392,0.00218669,-0.0251,0.052
"1020",1020,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12926107","OR",0.012636,0.0020014,-0.0594,0.0518
"1021",1021,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12928099","OR",-0.02821,0.00218133,0.0712,0.0532
"1022",1022,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs12944954","OR",0.040034,0.00656519,0.1329,0.1609
"1023",1023,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13064956","OR",-0.01964,0.00310139,0.0054,0.0727
"1024",1024,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13066793","OR",-0.02246,0.00347278,-0.0823,0.0879
"1025",1025,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13101828","OR",-0.01183,0.00199956,-0.0013,0.0482
"1026",1026,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13107325","OR",0.030075,0.00377743,0.2291,0.1992
"1027",1027,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13108218","OR",-0.03052,0.00205811,-0.0116,0.0514
"1028",1028,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13251367","OR",-0.01129,0.00205404,-0.045,0.0493
"1029",1029,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13269725","OR",0.034988,0.0036804,0.0557,0.1274
"1030",1030,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13270882","OR",0.030463,0.00487114,0.0637,0.1163
"1031",1031,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs13389219","OR",-0.03762,0.00202704,-0.0745,0.0503
"1032",1032,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1340819","OR",-0.01217,0.00209472,-0.0205,0.0512
"1033",1033,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs134551","OR",-0.01165,0.00211111,-0.0372,0.0535
